Incident Angle (deg),Reflectance (%) p-pol
 89.1676786162134 , 38.2237474632909 
 89.1794283759726 , 38.8980633312768 
 89.1909973701971 , 39.5757537390694 
 89.1982279915874 , 40.0063335171019 
 89.2099777513467 , 40.7177012610468 
 89.221727511106 , 41.4437094241118 
 89.2290711109555 , 41.9049903673713 
 89.24064010518 , 42.6435648157411 
 89.2478707265703 , 43.1126229635968 
 89.2596204863296 , 43.887188759632 
 89.2713702460889 , 44.6771858559949 
 89.2787138459384 , 45.1788390635384 
 89.2904636056977 , 45.9942318711223 
 89.2978072055472 , 46.5118675194784 
 89.3097405553027 , 47.366255673195 
 89.3213095495272 , 48.2102725948188 
 89.3285401709175 , 48.7456704998743 
 89.3402899306768 , 49.6286660059678 
 89.352039690436 , 50.5277447105086 
 89.3593832902856 , 51.0978356733968 
 89.3711330500448 , 52.0230264242729 
 89.3784766498944 , 52.6094015282316 
 89.3904099996499 , 53.5755353054116 
 89.4021597594092 , 54.5427512764597 
 89.4095033592587 , 55.1552240205446 
 89.4168469591082 , 55.7737639067276 
 89.4214367090142 , 56.1634073589506 
 89.4287803088637 , 56.7916816397015 
 89.4333700587697 , 57.1873545193064 
 89.4408284023669 , 57.8351911768714 
 89.4479477834281 , 58.4591375173994 
 89.4523973965914 , 58.8518202414795 
 89.4596280179817 , 59.4943194894867 
 89.466858639372 , 60.1421638269399 
 89.471377777741 , 60.5497316664162 
 89.4786083991313 , 61.2060195661361 
 89.4831275375002 , 61.6187630913107 
 89.4904711373498 , 62.2935777120422 
 89.4977017587401 , 62.9628491408797 
 89.502220897109 , 63.3835129897876 
 89.5095644969586 , 64.070858373705 
 89.5169080968081 , 64.7627078096198 
 89.5214978467141 , 65.1973152073676 
 89.5287284681044 , 65.8852834981698 
 89.5332476064733 , 66.317231962862 
 89.5405912063229 , 67.0222194737463 
 89.5479348061724 , 67.7308020829029 
 89.5525245560784 , 68.175381136379 
 89.5598681559279 , 68.8892652332788 
 89.5644579058339 , 69.3369370548571 
 89.5719162494311 , 70.0666457889909 
 89.5791468708214 , 70.7764668572901 
 89.5836660091903 , 71.2211673159062 
 89.5910096090399 , 71.9453207247335 
 89.5983532088894 , 72.671054378754 
 89.6029429587954 , 73.1252840591631 
 89.6102865586449 , 73.8528251213302 
 89.6148763085508 , 74.3078774384278 
 89.622334652148 , 75.0476064427551 
 89.6296782519976 , 75.7759197974354 
 89.6342680019035 , 76.2309103817438 
 89.6417263455007 , 76.9696149687761 
 89.6491846890979 , 77.707098709636 
 89.6538461538462 , 78.1671911926232 
 89.6609655349074 , 78.8683205620254 
 89.6654151480707 , 79.3053956502505 
 89.672645769461 , 80.0134530210361 
 89.6798763908513 , 80.7183717537653 
 89.6843955292202 , 81.1571291791325 
 89.6916261506106 , 81.8558687933524 
 89.6961452889795 , 82.2903360611125 
 89.703488888829 , 82.9922698083639 
 89.7107195102194 , 83.677989942414 
 89.7152386485883 , 84.1035882829568 
 89.7225822484378 , 84.7898867679007 
 89.7299258482874 , 85.4690990526397 
 89.7345155981934 , 85.889736526156 
 89.7417462195837 , 86.545935383871 
 89.7462653579526 , 86.9518128451414 
 89.7536089578022 , 87.6039524689455 
 89.7609525576517 , 88.2463579582153 
 89.7655423075577 , 88.6426315130203 
 89.7728859074072 , 89.2678392978586 
 89.7774756573131 , 89.6528266792124 
 89.7849340009103 , 90.2684881348244 
 89.7966837606696 , 91.2119332038964 
 89.8040273605191 , 91.7841189882918 
 89.8159607102746 , 92.6832967845523 
 89.8278940600301 , 93.5421316855885 
 89.8353524036273 , 94.0571955077698 
 89.8472857533828 , 94.8446495124753 
 89.85474409698 , 95.312900989883 
 89.8668639053254 , 96.0327134566214 
 89.8786136650847 , 96.6798594125381 
 89.8859572649342 , 97.0579756731277 
 89.8978906146897 , 97.6276310111016 
 89.9172823080424 , 98.430353783054 
 89.9487938097406 , 99.392603525823 
 90 , 100 
